From	To	Species	Gene Name\
ENSG00000197343	79027	Homo sapiens	zinc finger protein 655(ZNF655)\
ENSG00000198677	9652	Homo sapiens	tetratricopeptide repeat domain 37(TTC37)\
ENSG00000197345	219927	Homo sapiens	mitochondrial ribosomal protein L21(MRPL21)\
ENSG00000269437	728343	Homo sapiens	nuclear RNA export factor 2B(NXF2B)\
ENSG00000268104	11254	Homo sapiens	solute carrier family 6 member 14(SLC6A14)\
ENSG00000185361	126282	Homo sapiens	TNF alpha induced protein 8 like 1(TNFAIP8L1)\
ENSG00000184032	337976	Homo sapiens	keratin associated protein 20-2(KRTAP20-2)\
ENSG00000160087	118424	Homo sapiens	ubiquitin conjugating enzyme E2 J2(UBE2J2)\
ENSG00000184033	1485	Homo sapiens	cancer/testis antigen 1B(CTAG1B)\
ENSG00000173281	79660	Homo sapiens	protein phosphatase 1 regulatory subunit 3B(PPP1R3B)\
ENSG00000198585	131870	Homo sapiens	nudix hydrolase 16(NUDT16)\
ENSG00000197253	64499	Homo sapiens	tryptase beta 2 (gene/pseudogene)(TPSB2)\
ENSG00000198586	9874	Homo sapiens	tousled like kinase 1(TLK1)\
ENSG00000197256	25959	Homo sapiens	KN motif and ankyrin repeat domains 2(KANK2)\
ENSG00000173285	391109	Homo sapiens	olfactory receptor family 10 subfamily K member 1(OR10K1)\
ENSG00000198589	987	Homo sapiens	LPS responsive beige-like anchor protein(LRBA)\
ENSG00000042813	11055	Homo sapiens	zona pellucida binding protein(ZPBP)\
ENSG00000185271	123103	Homo sapiens	kelch like family member 33(KLHL33)\
ENSG00000185272	54033	Homo sapiens	RNA binding motif protein 11(RBM11)\
ENSG00000185274	64409	Homo sapiens	Williams-Beuren syndrome chromosome region 17(WBSCR17)\
ENSG00000233436	643376	Homo sapiens	BTB domain containing 18(BTBD18)\
ENSG00000185278	84614	Homo sapiens	zinc finger and BTB domain containing 37(ZBTB37)\
ENSG00000054803	140689	Homo sapiens	cerebellin 4 precursor(CBLN4)\
ENSG00000198570	343035	Homo sapiens	retinal degeneration 3(RD3)\
ENSG00000197241	155184	Homo sapiens	solute carrier family 2 member 7(SLC2A7)\
ENSG00000198574	117157	Homo sapiens	SH2 domain containing 1B(SH2D1B)\
ENSG00000198573	64663	Homo sapiens	SPANX family member C(SPANXC)\
ENSG00000198576	23237	Homo sapiens	activity regulated cytoskeleton associated protein(ARC)\
ENSG00000173295	286042	Homo sapiens	family with sequence similarity 86, member A pseudogene(FAM86B3P)\
ENSG00000197245	79927	Homo sapiens	family with sequence similarity 110 member D(FAM110D)\
ENSG00000197249	5265	Homo sapiens	serpin family A member 1(SERPINA1)\
ENSG00000159082	8867	Homo sapiens	synaptojanin 1(SYNJ1)\
ENSG00000185262	283991	Homo sapiens	UBA like domain containing 2(UBALD2)\
ENSG00000186591	7328	Homo sapiens	ubiquitin conjugating enzyme E2 H(UBE2H)\
ENSG00000185261	285600	Homo sapiens	KIAA0825(KIAA0825)\
ENSG00000185264	339669	Homo sapiens	testis expressed 33(TEX33)\
ENSG00000159086	94104	Homo sapiens	PAX3 and PAX7 binding protein 1(PAXBP1)\
ENSG00000232119	28985	Homo sapiens	MCTS1, re-initiation and release factor(MCTS1)\
ENSG00000234776	143678	Homo sapiens	chromosome 11 open reading frame 94(C11orf94)\
ENSG00000185267	441549	Homo sapiens	cerebral dopamine neurotrophic factor(CDNF)\
ENSG00000232112	51372	Homo sapiens	translation machinery associated 7 homolog(TMA7)\
ENSG00000186599	504180	Homo sapiens	defensin beta 105B(DEFB105B)\
ENSG00000185269	147111	Homo sapiens	NOTUM, palmitoleoyl-protein carboxylesterase(NOTUM)\
ENSG00000028528	6642	Homo sapiens	sorting nexin 1(SNX1)\
ENSG00000197272	246778	Homo sapiens	interleukin 27(IL27)\
ENSG00000197273	2980	Homo sapiens	guanylate cyclase activator 2A(GUCA2A)\
ENSG00000197275	25788	Homo sapiens	RAD54 homolog B (S. cerevisiae)(RAD54B)\
ENSG00000147099	55869	Homo sapiens	histone deacetylase 8(HDAC8)\
ENSG00000197279	7718	Homo sapiens	zinc finger protein 165(ZNF165)\
ENSG00000159079	56683	Homo sapiens	chromosome 21 open reading frame 59(C21orf59)\
ENSG00000269404	6689	Homo sapiens	Spi-B transcription factor(SPIB)\
ENSG00000269405	56001	Homo sapiens	nuclear RNA export factor 2(NXF2)\
ENSG00000185291	3563	Homo sapiens	interleukin 3 receptor subunit alpha(IL3RA)\
ENSG00000042832	7038	Homo sapiens	thyroglobulin(TG)\
ENSG00000185290	389493	Homo sapiens	nuclear protein 2, transcriptional regulator(NUPR2)\
ENSG00000185294	162540	Homo sapiens	signal peptide peptidase like 2C(SPPL2C)\
ENSG00000185298	339230	Homo sapiens	coiled-coil domain containing 137(CCDC137)\
ENSG00000232125	391475	Homo sapiens	dystrotelin(DYTN)\
ENSG00000197261	135398	Homo sapiens	chromosome 6 open reading frame 141(C6orf141)\
ENSG00000147081	8852	Homo sapiens	A-kinase anchoring protein 4(AKAP4)\
ENSG00000147082	85417	Homo sapiens	cyclin B3(CCNB3)\
ENSG00000197265	2961	Homo sapiens	general transcription factor IIE subunit 2(GTF2E2)\
ENSG00000198598	4326	Homo sapiens	matrix metallopeptidase 17(MMP17)\
ENSG00000198597	9745	Homo sapiens	zinc finger protein 536(ZNF536)\
ENSG00000159069	54461	Homo sapiens	F-box and WD repeat domain containing 5(FBXW5)\
ENSG00000244115	552891	Homo sapiens	DNAJC25-GNG10 readthrough(DNAJC25-GNG10)\
ENSG00000159063	79053	Homo sapiens	ALG8, alpha-1,3-glucosyltransferase(ALG8)\
ENSG00000198590	339883	Homo sapiens	chromosome 3 open reading frame 35(C3orf35)\
ENSG00000078808	51150	Homo sapiens	stromal cell derived factor 4(SDF4)\
ENSG00000197296	128486	Homo sapiens	fat storage inducing transmembrane protein 2(FITM2)\
ENSG00000246705	55766	Homo sapiens	H2A histone family member J(H2AFJ)\
ENSG00000197299	641	Homo sapiens	Bloom syndrome RecQ like helicase(BLM)\
ENSG00000135083	79616	Homo sapiens	cyclin J like(CCNJL)\
ENSG00000159055	54069	Homo sapiens	MIS18 kinetochore protein A(MIS18A)\
ENSG00000078814	57644	Homo sapiens	myosin heavy chain 7B(MYH7B)\
ENSG00000197291	100190938	Homo sapiens	RAMP2 antisense RNA 1(RAMP2-AS1)\
ENSG00000197283	100847012	Homo sapiens	microRNA 5004(MIR5004)\
ENSG00000147065	4478	Homo sapiens	moesin(MSN)\
ENSG00000148396	9919	Homo sapiens	SEC16 homolog A, endoplasmic reticulum export factor(SEC16A)\
ENSG00000041515	23026	Homo sapiens	myosin XVI(MYO16)\
ENSG00000135094	10993	Homo sapiens	serine dehydratase(SDS)\
ENSG00000135093	84749	Homo sapiens	ubiquitin specific peptidase 30(USP30)\
ENSG00000066827	57623	Homo sapiens	zinc finger and AT-hook domain containing(ZFAT)\
ENSG00000135097	4440	Homo sapiens	musashi RNA binding protein 1(MSI1)\
ENSG00000148399	92715	Homo sapiens	diphthamide biosynthesis 7(DPH7)\
ENSG00000135090	51347	Homo sapiens	TAO kinase 3(TAOK3)\
ENSG00000053524	23101	Homo sapiens	MCF.2 cell line derived transforming sequence-like 2(MCF2L2)\
ENSG00000078804	58476	Homo sapiens	tumor protein p53 inducible nuclear protein 2(TP53INP2)\
ENSG00000147050	7403	Homo sapiens	lysine demethylase 6A(KDM6A)\
ENSG00000123080	1031	Homo sapiens	cyclin dependent kinase inhibitor 2C(CDKN2C)\
ENSG00000148386	392399	Homo sapiens	lipocalin 9(LCN9)\
ENSG00000148384	56623	Homo sapiens	inositol polyphosphate-5-phosphatase E(INPP5E)\
ENSG00000135069	29968	Homo sapiens	phosphoserine aminotransferase 1(PSAT1)\
ENSG00000135063	9413	Homo sapiens	family with sequence similarity 189 member A2(FAM189A2)\
ENSG00000234745	3106	Homo sapiens	major histocompatibility complex, class I, B(HLA-B)\
ENSG00000233412	403274	Homo sapiens	olfactory receptor family 5 subfamily H member 15(OR5H15)\
ENSG00000147059	54466	Homo sapiens	spindlin family member 2A(SPIN2A)\
ENSG00000258713	128653	Homo sapiens	chromosome 20 open reading frame 141(C20orf141)\
ENSG00000123094	11228	Homo sapiens	Ras association domain family member 8(RASSF8)\
ENSG00000123095	79365	Homo sapiens	basic helix-loop-helix family member e41(BHLHE41)\
ENSG00000123096	8082	Homo sapiens	sarcospan(SSPN)\
ENSG00000147044	8573	Homo sapiens	calcium/calmodulin dependent serine protein kinase(CASK)\
ENSG00000123091	26994	Homo sapiens	ring finger protein 11(RNF11)\
ENSG00000147041	94122	Homo sapiens	synaptotagmin like 5(SYTL5)\
ENSG00000135077	84868	Homo sapiens	hepatitis A virus cellular receptor 2(HAVCR2)\
ENSG00000066813	348158	Homo sapiens	acyl-CoA synthetase medium-chain family member 2B(ACSM2B)\
ENSG00000135070	81689	Homo sapiens	iron-sulfur cluster assembly 1(ISCA1)\
ENSG00000159023	2035	Homo sapiens	erythrocyte membrane protein band 4.1(EPB41)\
ENSG00000135074	8728	Homo sapiens	ADAM metallopeptidase domain 19(ADAM19)\
ENSG00000053501	55850	Homo sapiens	unconventional SNARE in the ER 1(USE1)\
ENSG00000148377	91734	Homo sapiens	isopentenyl-diphosphate delta isomerase 2(IDI2)\
ENSG00000123064	79039	Homo sapiens	DEAD-box helicase 54(DDX54)\
ENSG00000150681	64407	Homo sapiens	regulator of G-protein signaling 18(RGS18)\
ENSG00000077514	10714	Homo sapiens	DNA polymerase delta 3, accessory subunit(POLD3)\
ENSG00000148362	286257	Homo sapiens	chromosome 9 open reading frame 142(C9orf142)\
ENSG00000124391	27189	Homo sapiens	interleukin 17C(IL17C)\
ENSG00000135047	1514	Homo sapiens	cathepsin L(CTSL)\
ENSG00000064201	10077	Homo sapiens	tetraspanin 32(TSPAN32)\
ENSG00000136378	11173	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif 7(ADAMTS7)\
ENSG00000135046	301	Homo sapiens	annexin A1(ANXA1)\
ENSG00000150687	11098	Homo sapiens	protease, serine 23(PRSS23)\
ENSG00000065534	4638	Homo sapiens	myosin light chain kinase(MYLK)\
ENSG00000135045	55071	Homo sapiens	chromosome 9 open reading frame 40(C9orf40)\
ENSG00000064205	8839	Homo sapiens	WNT1 inducible signaling pathway protein 2(WISP2)\
ENSG00000135049	23287	Homo sapiens	ATP/GTP binding protein 1(AGTPBP1)\
ENSG00000111077	23371	Homo sapiens	tensin 2(TNS2)\
ENSG00000135048	23670	Homo sapiens	transmembrane protein 2(TMEM2)\
ENSG00000136379	58489	Homo sapiens	abhydrolase domain containing 17C(ABHD17C)\
ENSG00000089505	113540	Homo sapiens	CKLF like MARVEL transmembrane domain containing 1(CMTM1)\
ENSG00000136371	10588	Homo sapiens	5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)(MTHFS)\
ENSG00000135040	60560	Homo sapiens	N(alpha)-acetyltransferase 35, NatC auxiliary subunit(NAA35)\
ENSG00000147036	347404	Homo sapiens	LanC like 3(LANCL3)\
ENSG00000123066	23389	Homo sapiens	mediator complex subunit 13 like(MED13L)\
ENSG00000015285	7454	Homo sapiens	Wiskott-Aldrich syndrome(WAS)\
ENSG00000077522	88	Homo sapiens	actinin alpha 2(ACTN2)\
ENSG00000150676	220047	Homo sapiens	coiled-coil domain containing 83(CCDC83)\
ENSG00000150672	1740	Homo sapiens	discs large MAGUK scaffold protein 2(DLG2)\
ENSG00000065548	55854	Homo sapiens	zinc finger CCCH-type containing 15(ZC3H15)\
ENSG00000064218	58524	Homo sapiens	doublesex and mab-3 related transcription factor 3(DMRT3)\
ENSG00000136381	3658	Homo sapiens	iron responsive element binding protein 2(IREB2)\
ENSG00000112394	117247	Homo sapiens	solute carrier family 16 member 10(SLC16A10)\
ENSG00000135052	51280	Homo sapiens	golgi membrane protein 1(GOLM1)\
ENSG00000136383	57538	Homo sapiens	alpha kinase 3(ALPK3)\
ENSG00000148356	90678	Homo sapiens	leucine rich repeat and sterile alpha motif containing 1(LRSAM1)\
ENSG00000148357	256158	Homo sapiens	hemicentin 2(HMCN2)\
ENSG00000147027	83604	Homo sapiens	transmembrane protein 47(TMEM47)\
ENSG00000148358	57720	Homo sapiens	G protein-coupled receptor 107(GPR107)\
ENSG00000124370	84693	Homo sapiens	methylmalonyl-CoA epimerase(MCEE)\
ENSG00000148341	56904	Homo sapiens	SH3 domain containing GRB2 like endophilin B2(SH3GLB2)\
ENSG00000147010	30011	Homo sapiens	SH3 domain containing kinase binding protein 1(SH3KBP1)\
ENSG00000150667	161835	Homo sapiens	fibrous sheath interacting protein 1(FSIP1)\
ENSG00000136352	7080	Homo sapiens	NK2 homeobox 1(NKX2-1)\
ENSG00000148346	3934	Homo sapiens	lipocalin 2(LCN2)\
ENSG00000148343	84895	Homo sapiens	mitoguardin 2(MIGA2)\
ENSG00000148344	9536	Homo sapiens	prostaglandin E synthase(PTGES)\
ENSG00000124374	400961	Homo sapiens	poly(A) binding protein interacting protein 2B(PAIP2B)\
ENSG00000149679	81928	Homo sapiens	Cdk5 and Abl enzyme substrate 2(CABLES2)\
ENSG00000124383	10199	Homo sapiens	M-phase phosphoprotein 10(MPHOSPH10)\
ENSG00000148331	140459	Homo sapiens	ankyrin repeat and SOCS box containing 6(ASB6)\
ENSG00000124380	11017	Homo sapiens	small nuclear ribonucleoprotein U4/U6.U5 subunit 27(SNRNP27)\
ENSG00000136367	85446	Homo sapiens	zinc finger homeobox 2(ZFHX2)\
ENSG00000137699	23650	Homo sapiens	tripartite motif containing 29(TRIM29)\
ENSG00000066855	9650	Homo sapiens	mitochondrial fission regulator 1(MTFR1)\
ENSG00000150656	84735	Homo sapiens	carnosine dipeptidase 1(CNDP1)\
ENSG00000111087	2735	Homo sapiens	GLI family zinc finger 1(GLI1)\
ENSG00000065526	23013	Homo sapiens	spen family transcriptional repressor(SPEN)\
ENSG00000065518	4710	Homo sapiens	NADH:ubiquinone oxidoreductase subunit B4(NDUFB4)\
ENSG00000137691	85016	Homo sapiens	chromosome 11 open reading frame 70(C11orf70)\
ENSG00000137692	84259	Homo sapiens	defective in cullin neddylation 1 domain containing 5(DCUN1D5)\
ENSG00000137693	10413	Homo sapiens	Yes associated protein 1(YAP1)\
ENSG00000148334	80142	Homo sapiens	prostaglandin E synthase 2(PTGES2)\
ENSG00000147003	57393	Homo sapiens	transmembrane protein 27(TMEM27)\
ENSG00000148335	28989	Homo sapiens	N-terminal Xaa-Pro-Lys N-methyltransferase 1(NTMT1)\
ENSG00000148339	114789	Homo sapiens	solute carrier family 25 member 25(SLC25A25)\
ENSG00000148337	25792	Homo sapiens	CDKN1A interacting zinc finger protein 1(CIZ1)\
ENSG00000100380	6767	Homo sapiens	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)(ST13)\
ENSG00000149651	391253	Homo sapiens	serine peptidase inhibitor, Kunitz type 4(SPINT4)\
ENSG00000040275	54908	Homo sapiens	spindle apparatus coiled-coil protein 1(SPDL1)\
ENSG00000090530	55214	Homo sapiens	prolyl 3-hydroxylase 2(P3H2)\
ENSG00000112367	9896	Homo sapiens	FIG4 phosphoinositide 5-phosphatase(FIG4)\
ENSG00000135002	55312	Homo sapiens	riboflavin kinase(RFK)\
ENSG00000112365	9841	Homo sapiens	zinc finger and BTB domain containing 24(ZBTB24)\
ENSG00000150637	10666	Homo sapiens	CD226 molecule(CD226)\
ENSG00000006194	10127	Homo sapiens	zinc finger protein 263(ZNF263)\
ENSG00000150636	79839	Homo sapiens	coiled-coil domain containing 102B(CCDC102B)\
ENSG00000151967	29970	Homo sapiens	schwannomin interacting protein 1(SCHIP1)\
ENSG00000124356	10617	Homo sapiens	STAM binding protein(STAMBP)\
ENSG00000078898	80341	Homo sapiens	BPI fold containing family B member 2(BPIFB2)\
ENSG00000124357	55577	Homo sapiens	N-acetylglucosamine kinase(NAGK)\
ENSG00000149654	64405	Homo sapiens	cadherin 22(CDH22)\
ENSG00000100387	9978	Homo sapiens	ring-box 1(RBX1)\
ENSG00000100385	3560	Homo sapiens	interleukin 2 receptor subunit beta(IL2RB)\
ENSG00000149658	54915	Homo sapiens	YTH N6-methyladenosine RNA binding protein 1(YTHDF1)\
ENSG00000125686	5469	Homo sapiens	mediator complex subunit 1(MED1)\
ENSG00000149657	149986	Homo sapiens	LSM family member 14B(LSM14B)\
ENSG00000125691	9349	Homo sapiens	ribosomal protein L23(RPL23)\
ENSG00000090520	51726	Homo sapiens	DnaJ heat shock protein family (Hsp40) member B11(DNAJB11)\
ENSG00000112357	5191	Homo sapiens	peroxisomal biogenesis factor 7(PEX7)\
ENSG00000137673	4316	Homo sapiens	matrix metallopeptidase 7(MMP7)\
ENSG00000135018	29979	Homo sapiens	ubiquilin 1(UBQLN1)\
ENSG00000137674	9313	Homo sapiens	matrix metallopeptidase 20(MMP20)\
ENSG00000151962	166863	Homo sapiens	RNA binding motif protein 46(RBM46)\
ENSG00000137675	64066	Homo sapiens	matrix metallopeptidase 27(MMP27)\
ENSG00000150630	7424	Homo sapiens	vascular endothelial growth factor C(VEGFC)\
ENSG00000137672	7225	Homo sapiens	transient receptor potential cation channel subfamily C member 6(TRPC6)\
ENSG00000088205	8886	Homo sapiens	DEAD-box helicase 18(DDX18)\
ENSG00000150625	2823	Homo sapiens	glycoprotein M6A(GPM6A)\
ENSG00000150628	132851	Homo sapiens	spermatogenesis associated 4(SPATA4)\
ENSG00000150627	116966	Homo sapiens	WD repeat domain 17(WDR17)\
ENSG00000100379	79734	Homo sapiens	potassium channel tetramerization domain containing 17(KCTD17)\
ENSG00000100376	55007	Homo sapiens	family with sequence similarity 118 member A(FAM118A)\
ENSG00000091844	26575	Homo sapiens	regulator of G-protein signaling 17(RGS17)\
ENSG00000090512	26998	Homo sapiens	fetuin B(FETUB)\
ENSG00000149646	140894	Homo sapiens	cyclic nucleotide binding domain containing 2(CNBD2)\
ENSG00000100372	10478	Homo sapiens	solute carrier family 25 member 17(SLC25A17)\
ENSG00000100373	7380	Homo sapiens	uroplakin 3A(UPK3A)\
ENSG00000136319	91875	Homo sapiens	tetratricopeptide repeat domain 5(TTC5)\
ENSG00000137648	56649	Homo sapiens	transmembrane protease, serine 4(TMPRSS4)\
ENSG00000111058	79611	Homo sapiens	acyl-CoA synthetase short-chain family member 3(ACSS3)\
ENSG00000076201	25930	Homo sapiens	protein tyrosine phosphatase, non-receptor type 23(PTPN23)\
ENSG00000111057	3875	Homo sapiens	keratin 18(KRT18)\
ENSG00000151952	121256	Homo sapiens	transmembrane protein 132D(TMEM132D)\
ENSG00000064225	10402	Homo sapiens	ST3 beta-galactoside alpha-2,3-sialyltransferase 6(ST3GAL6)\
ENSG00000065559	6416	Homo sapiens	mitogen-activated protein kinase kinase 4(MAP2K4)\
ENSG00000137642	6653	Homo sapiens	sortilin related receptor 1(SORL1)\
ENSG00000111052	8825	Homo sapiens	lin-7 homolog A, crumbs cell polarity complex component(LIN7A)\
ENSG00000149639	140710	Homo sapiens	suppressor of glucose, autophagy associated 1(SOGA1)\
ENSG00000148308	9328	Homo sapiens	general transcription factor IIIC subunit 5(GTF3C5)\
ENSG00000151948	144423	Homo sapiens	glycosyltransferase 1 domain containing 1(GLT1D1)\
ENSG00000091831	2099	Homo sapiens	estrogen receptor 1(ESR1)\
ENSG00000124334	3581	Homo sapiens	interleukin 9 receptor(IL9R)\
ENSG00000149633	85449	Homo sapiens	KIAA1755(KIAA1755)\
ENSG00000163900	90407	Homo sapiens	transmembrane protein 41A(TMEM41A)\
ENSG00000148300	57109	Homo sapiens	REX4 homolog, 3'-5' exonuclease(REXO4)\
ENSG00000149636	79980	Homo sapiens	DSN1 homolog, MIS12 kinetochore complex component(DSN1)\
ENSG00000148303	6130	Homo sapiens	ribosomal protein L7a(RPL7A)\
ENSG00000149635	128506	Homo sapiens	osteoclast stimulatory transmembrane protein(OCSTAMP)\
ENSG00000124333	6845	Homo sapiens	vesicle associated membrane protein 7(VAMP7)\
ENSG00000149634	128497	Homo sapiens	spermatogenesis associated 25(SPATA25)\
ENSG00000100393	100302237	Homo sapiens	microRNA 1281(MIR1281)\
ENSG00000077549	832	Homo sapiens	capping actin protein of muscle Z-line beta subunit(CAPZB)\
ENSG00000163909	26508	Homo sapiens	hes related family bHLH transcription factor with YRPW motif-like(HEYL)\
ENSG00000163902	6184	Homo sapiens	ribophorin I(RPN1)\
ENSG00000163904	59343	Homo sapiens	SUMO1/sentrin/SMT3 specific peptidase 2(SENP2)\
ENSG00000112378	64065	Homo sapiens	PERP, TP53 apoptosis effector(PERP)\
ENSG00000111046	4618	Homo sapiens	myogenic factor 6(MYF6)\
ENSG00000137656	84811	Homo sapiens	BUD13 homolog(BUD13)\
ENSG00000111049	4617	Homo sapiens	myogenic factor 5(MYF5)\
ENSG00000112379	57221	Homo sapiens	ARFGEF family member 3(ARFGEF3)\
ENSG00000136327	26257	Homo sapiens	NK2 homeobox 8(NKX2-8)\
ENSG00000125676	57187	Homo sapiens	THO complex 2(THOC2)\
ENSG00000100399	150356	Homo sapiens	chondroadherin like(CHADL)\
ENSG00000125675	2892	Homo sapiens	glutamate ionotropic receptor AMPA type subunit 3(GRIA3)\
ENSG00000124343	7499	Homo sapiens	Xg blood group(XG)\
ENSG00000100395	83746	Homo sapiens	L3MBTL2 polycomb repressive complex 1 subunit(L3MBTL2)\
ENSG00000137747	84000	Homo sapiens	transmembrane protease, serine 13(TMPRSS13)\
ENSG00000162704	10092	Homo sapiens	actin related protein 2/3 complex subunit 5(ARPC5)\
ENSG00000162706	57863	Homo sapiens	cell adhesion molecule 3(CADM3)\
ENSG00000137745	4322	Homo sapiens	matrix metallopeptidase 13(MMP13)\
ENSG00000150722	151242	Homo sapiens	protein phosphatase 1 regulatory inhibitor subunit 1C(PPP1R1C)\
ENSG00000111110	57460	Homo sapiens	protein phosphatase, Mg2+/Mn2+ dependent 1H(PPM1H)\
ENSG00000148408	774	Homo sapiens	calcium voltage-gated channel subunit alpha1 B(CACNA1B)\
ENSG00000123106	55297	Homo sapiens	coiled-coil domain containing 91(CCDC91)\
ENSG00000088256	2767	Homo sapiens	G protein subunit alpha 11(GNA11)\
ENSG00000148400	4851	Homo sapiens	notch 1(NOTCH1)\
ENSG00000090565	9727	Homo sapiens	RAB11 family interacting protein 3(RAB11FIP3)\
ENSG00000162711	114548	Homo sapiens	NLR family pyrin domain containing 3(NLRP3)\
ENSG00000123104	3709	Homo sapiens	inositol 1,4,5-trisphosphate receptor type 2(ITPR2)\
ENSG00000100462	10419	Homo sapiens	protein arginine methyltransferase 5(PRMT5)\
ENSG00000149735	170589	Homo sapiens	glycoprotein hormone alpha 2(GPHA2)\
ENSG00000100461	55147	Homo sapiens	RNA binding motif protein 23(RBM23)\
ENSG00000162714	84838	Homo sapiens	zinc finger protein 496(ZNF496)\
ENSG00000150712	54545	Homo sapiens	myotubularin related protein 12(MTMR12)\
ENSG00000113763	90249	Homo sapiens	unc-5 netrin receptor A(UNC5A)\
ENSG00000137757	838	Homo sapiens	caspase 5(CASP5)\
ENSG00000113761	23567	Homo sapiens	zinc finger protein 346(ZNF346)\
ENSG00000136425	10518	Homo sapiens	calcium and integrin binding family member 2(CIB2)\
ENSG00000137752	834	Homo sapiens	caspase 1(CASP1)\
ENSG00000125779	80025	Homo sapiens	pantothenate kinase 2(PANK2)\
ENSG00000124449	56269	Homo sapiens	immunity related GTPase cinema(IRGC)\
ENSG00000088247	100500888	Homo sapiens	microRNA 3940(MIR3940)\
ENSG00000123119	64168	Homo sapiens	N-terminal EF-hand calcium binding protein 1(NECAB1)\
ENSG00000090554	2323	Homo sapiens	fms related tyrosine kinase 3 ligand(FLT3LG)\
ENSG00000124444	79177	Homo sapiens	zinc finger protein 576(ZNF576)\
ENSG00000162722	25893	Homo sapiens	tripartite motif containing 58(TRIM58)\
ENSG00000125775	27111	Homo sapiens	syndecan binding protein 2(SDCBP2)\
ENSG00000100453	3002	Homo sapiens	granzyme B(GZMB)\
ENSG00000162723	89886	Homo sapiens	SLAM family member 9(SLAMF9)\
ENSG00000125772	56261	Homo sapiens	glycerophosphocholine phosphodiesterase 1(GPCPD1)\
ENSG00000124440	64344	Homo sapiens	hypoxia inducible factor 3 alpha subunit(HIF3A)\
ENSG00000101782	8780	Homo sapiens	RIO kinase 3(RIOK3)\
ENSG00000100450	2999	Homo sapiens	granzyme H(GZMH)\
ENSG00000162729	93185	Homo sapiens	immunoglobulin superfamily member 8(IGSF8)\
ENSG00000076248	7374	Homo sapiens	uracil DNA glycosylase(UNG)\
ENSG00000137726	53826	Homo sapiens	FXYD domain containing ion transport regulator 6(FXYD6)\
ENSG00000137727	57569	Homo sapiens	Rho GTPase activating protein 20(ARHGAP20)\
ENSG00000162727	127059	Homo sapiens	olfactory receptor family 2 subfamily M member 5(OR2M5)\
ENSG00000162728	3765	Homo sapiens	potassium voltage-gated channel subfamily J member 9(KCNJ9)\
ENSG00000076242	4292	Homo sapiens	mutL homolog 1(MLH1)\
ENSG00000112462	81797	Homo sapiens	olfactory receptor family 12 subfamily D member 3(OR12D3)\
ENSG00000137720	64776	Homo sapiens	chromosome 11 open reading frame 1(C11orf1)\
ENSG00000113790	1962	Homo sapiens	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase(EHHADH)\
ENSG00000174705	285590	Homo sapiens	SH3 and PX domains 2B(SH3PXD2B)\
ENSG00000149716	220064	Homo sapiens	oral cancer overexpressed 1(ORAOV1)\
ENSG00000125746	24139	Homo sapiens	echinoderm microtubule associated protein like 2(EML2)\
ENSG00000125743	6633	Homo sapiens	small nuclear ribonucleoprotein D2 polypeptide(SNRPD2)\
ENSG00000162733	4921	Homo sapiens	discoidin domain receptor tyrosine kinase 2(DDR2)\
ENSG00000162734	8682	Homo sapiens	phosphoprotein enriched in astrocytes 15(PEA15)\
ENSG00000162735	5824	Homo sapiens	peroxisomal biogenesis factor 19(PEX19)\
ENSG00000125744	6253	Homo sapiens	reticulon 2(RTN2)\
ENSG00000091879	285	Homo sapiens	angiopoietin 2(ANGPT2)\
ENSG00000100485	6655	Homo sapiens	SOS Ras/Rho guanine nucleotide exchange factor 2(SOS2)\
ENSG00000125741	80207	Homo sapiens	optic atrophy 3 (autosomal recessive, with chorea and spastic paraplegia)(OPA3)\
ENSG00000125740	2354	Homo sapiens	FosB proto-oncogene, AP-1 transcription factor subunit(FOSB)\
ENSG00000100483	79609	Homo sapiens	valosin containing protein lysine methyltransferase(VCPKMT)\
ENSG00000064270	9914	Homo sapiens	ATPase secretory pathway Ca2+ transporting 2(ATP2C2)\
ENSG00000161405	22806	Homo sapiens	IKAROS family zinc finger 3(IKZF3)\
ENSG00000162736	23385	Homo sapiens	nicastrin(NCSTN)\
ENSG00000076258	2329	Homo sapiens	flavin containing monooxygenase 4(FMO4)\
ENSG00000162738	57216	Homo sapiens	VANGL planar cell polarity protein 2(VANGL2)\
ENSG00000162739	114836	Homo sapiens	SLAM family member 6(SLAMF6)\
ENSG00000006128	6863	Homo sapiens	tachykinin precursor 1(TAC1)\
ENSG00000174721	143282	Homo sapiens	fibroblast growth factor binding protein 3(FGFBP3)\
ENSG00000174720	51574	Homo sapiens	La ribonucleoprotein domain family member 7(LARP7)\
ENSG00000077585	7107	Homo sapiens	G protein-coupled receptor 137B(GPR137B)\
ENSG00000136404	53346	Homo sapiens	transmembrane 6 superfamily member 1(TM6SF1)\
ENSG00000006125	163	Homo sapiens	adaptor related protein complex 2 beta 1 subunit(AP2B1)\
ENSG00000137731	486	Homo sapiens	FXYD domain containing ion transport regulator 2(FXYD2)\
ENSG00000174718	55196	Homo sapiens	KIAA1551(KIAA1551)\
ENSG00000089558	23415	Homo sapiens	potassium voltage-gated channel subfamily H member 4(KCNH4)\
